Date,Open,High,Low,Close,Adj Close,Volume
2018/1/3,46.330002,46.529999,45.93,46.16,46.16,236547
2018/1/2,45.610001,46.34,45.529999,46.220001,46.220001,162216
2018/1/1,46.700001,46.73,45.82,45.959999,45.959999,166560
2017/12/28,47,47,46.240002,46.700001,46.700001,154666
2017/12/27,46.889999,47.09,46.459999,47.02,47.02,125445
2017/12/26,46.599998,47.040001,45.93,46.790001,46.790001,158252
2017/12/21,45.599998,46.599998,45.25,46.599998,46.599998,221208
2017/12/20,45.5,45.810001,44.860001,45.599998,45.599998,711966
2017/12/19,43,44.830002,42.994999,44.669998,44.669998,493931
2017/12/18,43.75,43.880001,42.360001,42.990002,42.990002,572626
2017/12/17,44.220001,44.450001,43.82,43.900002,43.900002,320678
2017/12/14,44.77,44.865002,44.150002,44.299999,44.299999,567634
2017/12/13,44.799999,45.27,44.779999,44.919998,44.919998,346298
2017/12/12,45.860001,45.875,44.950001,45.060001,45.060001,201995
2017/12/11,46.009998,46.32,45.759998,45.830002,45.830002,246886
2017/12/10,46.009998,46.650002,45.935001,46.139999,46.139999,185361
2017/12/7,46.599998,47.119999,46.599998,46.849998,46.849998,243214
2017/12/6,46.200001,46.794998,45.860001,46.52,46.52,293899
2017/12/5,46.709999,47.110001,46.25,46.299999,46.299999,296548
2017/12/4,46.52,47.139999,46.240002,46.849998,46.849998,243317
2017/12/3,46.990002,46.990002,46.27,46.52,46.52,254398
2017/11/30,46.32,47.82,46.32,47.040001,47.040001,362381
2017/11/29,46.75,47.330002,46.75,47,47,406674
2017/11/28,47,47.07,46.5,46.889999,46.889999,328716
2017/11/27,46.799999,47.259998,46.139999,46.959999,46.959999,233691
2017/11/26,46.349998,47.060001,46.349998,46.84,46.84,153474
2017/11/23,45.93,46.66,45.919998,46.639999,46.639999,251236
2017/11/22,46.959999,46.959999,46.23,46.369999,46.369999,191283
2017/11/21,46.700001,47.18,46.48,46.990002,46.990002,612959
2017/11/20,45.599998,46.740002,45.5,46.48,46.48,212355
2017/11/19,45.849998,46.055,45.099998,45.84,45.84,472483
2017/11/16,46.650002,47.040001,46.029999,46.029999,46.029999,228492
2017/11/15,46.950001,47.099998,46.32,46.740002,46.740002,195237
2017/11/14,46.93,47.5,46.759998,47.07,47.07,238015
2017/11/13,46.959999,47.490002,46.59,46.790001,46.790001,229172
2017/11/12,46.75,47.869999,46.75,47.5,47.5,333794
2017/11/9,46.5,46.779999,45.91,46.529999,46.529999,285248
2017/11/8,48.299999,48.299999,46.07,46.43,46.43,688768
2017/11/7,47.759998,48.450001,47.529999,48.099998,48.099998,262195
2017/11/6,48.650002,48.860001,47.669998,48.07,48.07,786994
2017/11/5,47.599998,48.700001,47.599998,48.650002,48.650002,284959
